field_name,occurrence_count,types,tables,positions,option_values
职位,18,text:16; lookup:2,✅✅136学员-NEWBIBLE_（Dcode); 总结合; Grade ABC【EMO】; ✅教练名单（中心）; ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 【高二】事业成就表; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#18; 总结合#11; Grade ABC【EMO】#21; ✅教练名单（中心）#22; ✅✅136教练-NEWBIBLE_（Dcode)#174; ✅✅136-WHOLE-MASTERLIST【基础-高四】#71; ✅✅136-旧Backlog【基础-高四】#134; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#53; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#126; 🖊️🖊️136-基础FINAL MASTERLIST#42; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#46; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#54; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#16; 🖊️-136-高阶一-FINAL MASTERLIST#15; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#116; 【高二】事业成就表#2; 🖊️-136-高阶二-Final Masterlist.#60; 🖊️-136-高阶二-【高阶二Backlog】Bible#4,
华语名字,17,text:15; select:2,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; ✅A0-136高一-10天宣告; 【高二】事业成就表; ✅135-高二工作坊DOE宣告（开班前）; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#114; ✅✅136教练-NEWBIBLE_（Dcode)#61; ✅✅136-WHOLE-MASTERLIST【基础-高四】#59; ✅✅136-旧Backlog【基础-高四】#19; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#102; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#46; 🖊️🖊️136-基础FINAL MASTERLIST#41; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#45; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#141; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#79; 🖊️-136-高阶一-FINAL MASTERLIST#77; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#134; ✅A0-136高一-10天宣告#7; 【高二】事业成就表#22; ✅135-高二工作坊DOE宣告（开班前）#2; 🖊️-136-高阶二-Final Masterlist.#122; 🖊️-136-高阶二-【高阶二Backlog】Bible#136,何嘉励; 刘国靖; 周祤胜; 张秋香; 施伟弟; 曾芷玲; 曾逸文; 李汶翔; 李美郿; 林佑亮; 林傢保; 林汶为; 林贤隆; 梁莉仪; 沈美诗; 温俊荣; 王玮玉; 王金炎; 纪光祖; 罗佩珊; 罗耀瀚; 苏启业; 詹镇安; 许伟胜; 许向圣; 许雪芳; 谢其平; 邱德权; 鄧顺喆; 陈弘晋; 魏龙; 黄开阳; 黎泓毅
年龄,17,number:15; lookup:2,✅✅136学员-NEWBIBLE_（Dcode); 总结合; Grade ABC【EMO】; ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 【高二】事业成就表; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#7; 总结合#29; Grade ABC【EMO】#25; ✅✅136教练-NEWBIBLE_（Dcode)#55; ✅✅136-WHOLE-MASTERLIST【基础-高四】#107; ✅✅136-旧Backlog【基础-高四】#76; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#122; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#124; 🖊️🖊️136-基础FINAL MASTERLIST#110; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#66; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#38; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#39; 🖊️-136-高阶一-FINAL MASTERLIST#135; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#99; 【高二】事业成就表#21; 🖊️-136-高阶二-Final Masterlist.#84; 🖊️-136-高阶二-【高阶二Backlog】Bible#49,
公司名称,16,text:15; lookup:1,✅✅136学员-NEWBIBLE_（Dcode); ✅教练名单（中心）; ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 【高二】事业成就表; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#125; ✅教练名单（中心）#11; ✅✅136教练-NEWBIBLE_（Dcode)#172; ✅✅136-WHOLE-MASTERLIST【基础-高四】#57; ✅✅136-旧Backlog【基础-高四】#75; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#18; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#15; 🖊️🖊️136-基础FINAL MASTERLIST#100; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#24; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#122; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#140; 🖊️-136-高阶一-FINAL MASTERLIST#54; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#28; 【高二】事业成就表#14; 🖊️-136-高阶二-Final Masterlist.#106; 🖊️-136-高阶二-【高阶二Backlog】Bible#59,
年收入,16,number:13; lookup:2; text:1,总结合; Grade ABC【EMO】; ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 【高二】事业成就表; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,总结合#9; Grade ABC【EMO】#20; ✅✅136教练-NEWBIBLE_（Dcode)#162; ✅✅136-WHOLE-MASTERLIST【基础-高四】#74; ✅✅136-旧Backlog【基础-高四】#109; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#1; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#113; 🖊️🖊️136-基础FINAL MASTERLIST#61; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#53; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#83; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#7; 🖊️-136-高阶一-FINAL MASTERLIST#39; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#141; 【高二】事业成就表#17; 🖊️-136-高阶二-Final Masterlist.#93; 🖊️-136-高阶二-【高阶二Backlog】Bible#77,
性别,16,select:15; lookup:1,✅✅136学员-NEWBIBLE_（Dcode); ✅教练名单（中心）; ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 【高二】事业成就表; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#31; ✅教练名单（中心）#36; ✅✅136教练-NEWBIBLE_（Dcode)#150; ✅✅136-WHOLE-MASTERLIST【基础-高四】#44; ✅✅136-旧Backlog【基础-高四】#69; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#55; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#107; 🖊️🖊️136-基础FINAL MASTERLIST#28; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#20; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#45; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#58; 🖊️-136-高阶一-FINAL MASTERLIST#65; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#40; 【高二】事业成就表#20; 🖊️-136-高阶二-Final Masterlist.#25; 🖊️-136-高阶二-【高阶二Backlog】Bible#95,000111-10-1403; 000303-13-1236; 000511-13-1273; 000816-10-0590; 010205-10-0355; 010403-13-0475; 010629-10-2047; 010925-13-0907; 012-2942928; 012-5548837; 016-3702199; 016-9550535; 017-2813732; 018-2234822; 019-2637613; 021028-13-0601; 030829-04-0109; 040523-13-0725; 041007-14-1457; 041226-14-0219; 780602-13-5843; 820416-04-5338; 850713-13-6559; 880210-12-5775; 890418-13-6341; 890920-05-5096; 891116-13-6041; 900116-08-5493; 900124-13-6895; 910722-13-5381; 921220-04-5307; 930914-13-6707; 931005-13-6499; 940228-13-5375; 950626-13-6305; 951010-01-5462; 951222-13-6039; 960516-13-6039; 960910-13-6475; 970403-13-6605; 970412-23-5111; 970520-06-5455; 970525-07-5855; 970531-13-6247; 971205-13-5083; 980124-13-6150; 980322-13-6098; 980703-04-5093; 980901-13-6383; 981202-04-5073; 990321-13-6247; 990625-07-5877; 991021-07-6240; 991024-13-5939; 991222-10-6266; 女; 男
行业性质,16,text:14; lookup:2,✅✅136学员-NEWBIBLE_（Dcode); 总结合; ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 【高二】事业成就表; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#121; 总结合#28; ✅✅136教练-NEWBIBLE_（Dcode)#125; ✅✅136-WHOLE-MASTERLIST【基础-高四】#119; ✅✅136-旧Backlog【基础-高四】#88; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#75; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#63; 🖊️🖊️136-基础FINAL MASTERLIST#34; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#106; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#124; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#135; 🖊️-136-高阶一-FINAL MASTERLIST#96; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#136; 【高二】事业成就表#3; 🖊️-136-高阶二-Final Masterlist.#16; 🖊️-136-高阶二-【高阶二Backlog】Bible#37,
EMO 华语名字,15,text:14; lookup:1,✅✅136学员-NEWBIBLE_（Dcode); 总结合; ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#1; 总结合#18; ✅✅136教练-NEWBIBLE_（Dcode)#126; ✅✅136-WHOLE-MASTERLIST【基础-高四】#22; ✅✅136-旧Backlog【基础-高四】#32; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#66; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#62; 🖊️🖊️136-基础FINAL MASTERLIST#29; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#9; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#73; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#76; 🖊️-136-高阶一-FINAL MASTERLIST#99; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#62; 🖊️-136-高阶二-Final Masterlist.#113; 🖊️-136-高阶二-【高阶二Backlog】Bible#82,
EMO 联络号码,15,text:14; lookup:1,✅✅136学员-NEWBIBLE_（Dcode); 总结合; ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#135; 总结合#30; ✅✅136教练-NEWBIBLE_（Dcode)#139; ✅✅136-WHOLE-MASTERLIST【基础-高四】#129; ✅✅136-旧Backlog【基础-高四】#27; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#8; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#56; 🖊️🖊️136-基础FINAL MASTERLIST#95; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#49; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#91; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#45; 🖊️-136-高阶一-FINAL MASTERLIST#63; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#36; 🖊️-136-高阶二-Final Masterlist.#139; 🖊️-136-高阶二-【高阶二Backlog】Bible#44,
EMO期别,15,select:13; lookup:1; text:1,✅✅136学员-NEWBIBLE_（Dcode); 总结合; ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#55; 总结合#26; ✅✅136教练-NEWBIBLE_（Dcode)#85; ✅✅136-WHOLE-MASTERLIST【基础-高四】#122; ✅✅136-旧Backlog【基础-高四】#13; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#5; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#139; 🖊️🖊️136-基础FINAL MASTERLIST#23; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#62; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#115; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#1; 🖊️-136-高阶一-FINAL MASTERLIST#72; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#140; 🖊️-136-高阶二-Final Masterlist.#124; 🖊️-136-高阶二-【高阶二Backlog】Bible#129,011-12739137; KLCP 102; KLCP101; KLCP105; KLCP107; KLCP108; KLCP109; KLCP115; KLCP116; KLCP119; KLCP123; KLCP125; KLCP127; KLCP128; KLCP129; KLCP131; KLCP132; KLCP133; KLCP135; KLCP136; KLCP137; KLCP138; KLCP139; KLCP140; KLCP26; KLCP35; KLCP40; KLCP59; KLCP65; KLCP69; KLCP87; KLCP91; KLCP96
