table_name,table_id,table_category,field_order,field_name,field_id,field_type,option_count,options_preview
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,1,EMO 华语名字,fldpVM1MAg,text,0,
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,2,基础1call,fldsppqgFK,select,14,"Yes; No; Call 136; Call 137; No Call; Call; Call 138; No Call
17/12/25报读过，健康不通过; 日期：19/3/26 时间：10.05pm 位置： 确认136
19/3- happy inform call 136; Call 明天12点后call; Call 137 下午才联系; Call 下午; Call WhatsApp on 18-3 after 12pm; Call 137-whatsapp讯息"
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,3,个人海星位置,fldw1sPNp8,number,0,
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,4,基础健康面谈,flduv1pk53,select,2,已面谈; 面谈不通过
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,5,基础确认当班,fld8MIqSZ5,select,7,确认; 待确认; 不当班; 健康待审核; 健康不通过; 未接电话; KLCP136
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,6,"高阶一2CalL (A,B,C,D)",flde5hBvrW,select,7,确认; 待确认; 不当班; 健康待审核; 健康不通过; 未接电话; Yes
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,7,年龄,fld4Ozu3jN,number,0,
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,8,字段 2,fldbtSuq2e,text,0,
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,9,"杂费定金  (A,B,C,D)",fld5YHqAUa,lookup,0,
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,10,"高阶一C1-3信息  (A,B,C,D)",fldbcgHatV,select,3,已发出; 已回复; Yes
