category,table_name,table_id,field_count,view_count,sample_fields,views,errors
Bible core,✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,0,0,,,"{
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:field:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:field:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}; {
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:view:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:view:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}"
Summary / aggregation,总结合,tbl642uyWaEnVkbw,0,0,,,"{
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:field:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:field:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}; {
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:view:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:view:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}"
Scoring / grading,Grade ABC【EMO】,tbl6T4FpFyR4b58Q,0,0,,,"{
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:field:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:field:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}; {
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:view:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:view:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}"
Scoring / grading,Grade ABC【教练填】,tblRWgxhglDxpFn0,0,0,,,"{
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:field:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:field:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}; {
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:view:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:view:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}"
Coach roster,✅教练名单（中心）,tblGUjQxgo5Ipz0W,0,0,,,"{
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:field:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:field:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}; {
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:view:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:view:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}"
Bible core,✅✅136教练-NEWBIBLE_（Dcode),tblinixxUxRFCwRm,0,0,,,"{
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:field:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:field:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}; {
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:view:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:view:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}"
Registration,✅课程报名,tblEryveHiL5zhXw,0,0,,,"{
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:field:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:field:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}; {
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:view:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:view:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}"
Masterlist / final list,✅✅136-WHOLE-MASTERLIST【基础-高四】,tbli7eKtZoR3FHGo,0,0,,,"{
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:field:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:field:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}; {
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:view:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:view:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}"
Backlog / transition,✅✅136-旧Backlog【基础-高四】,tblYTjyktzYogxgI,0,0,,,"{
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:field:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:field:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}; {
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:view:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:view:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}"
Masterlist / final list,✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】,tblPKvDeyibe8k9S,0,0,,,"{
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:field:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:field:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}; {
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:view:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:view:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}"
