title,base_name,ownership_tag,owner_name,url_type,url,resolved_base_token,access_status,table_count,update_time_iso,create_time_iso,last_open_time_iso,search_sources,tables,access_error
CP135-DOE （学员&教练）,CP135-DOE （学员&教练）  ,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/PhYnbXigRaHMHCsqXWwleXlagZd,PhYnbXigRaHMHCsqXWwleXlagZd,readable,32,2026-05-28T21:21:45+08:00,2026-03-15T07:49:46+08:00,2026-05-26T15:48:11+08:00,keyword_DOE,🔥135-事业挑战; Dcode资料库; 135个人资料; ✅135-高二工作坊DOE宣告（开班前）; ✅B5.2-【周计划表】; ✅C1-135--教练-SUMMARY DOE; ✅C2-135-教练- SUMMARY DOE Form; ✅A0-133高一-10天宣告; ✅A1-133高一学员DOE挑战宣告; ✅A1-133高一学员DOE挑战宣告 副本; ✅A2-133高一学员DOE挑战宣告 Form; 135【分数机制】; 135_Summary 分数机制; 135.3-分数计算【Buddy+战队】; 135.2-分数计算【个人】; 感召Form; 感召（个人）; ✅B1.1_135 【DOE数据】; ✅B2.2_135【DOE填or修改数据】; ✅B3.1-【海星名单or位置】; ✅B3.2 【137 进阶进度】; ✅B4.1_【每日宣告 or 每日总结】; ✅B5.1-【周计划表】; 🔅【事业_1】个人每周事业数据 (NEW); 分数标准; 01-ABC教练Grade; 01-ABC教练Grade 副本; 02-学员DOE ABC; 02.1-团队; 03-录音【copy】; ✅✅135-WHOLE-MASTERLIST【基础-高四】; 团队进阶高阶二守则后,
CP136-DOE （学员&教练）,CP136-DOE （学员&教练）  ,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/JS92bpyyCaaDrUskBH7la2kGgQc,JS92bpyyCaaDrUskBH7la2kGgQc,readable,36,2026-05-28T21:17:54+08:00,2026-04-22T08:18:14+08:00,2026-05-26T16:19:20+08:00,keyword_DOE,136-事业挑战; Dcode资料库; 136个人资料; ✅高二工作坊DOE宣告（开班前）; 学员个人结果; ✅B5.2-【周计划表】; ✅C1-136--教练-SUMMARY DOE; ✅C2-136-教练- SUMMARY DOE Form; ✅B5.1-【周计划表】; ✅A0-133高一-10天宣告; ✅A1-133高一学员DOE挑战宣告; ✅A1-133高一学员DOE挑战宣告 副本; ✅A2-133高一学员DOE挑战宣告 Form; 【分数机制】; 135_Summary 分数机制; 135.3-分数计算【Buddy+战队】; 135.2-分数计算【个人】; 感召Form; 感召（个人）; ✅B1.1_【DOE数据】; ✅B2.2_【DOE填or修改数据】; ✅B3.1-【海星名单or位置】; ✅B3.2【137进阶进度】; call 确认当班; ✅B4.1_【每日宣告 or 每日总结】; 🔅【事业】个人每周事业数据 (NEW); 数据表; 01-ABC教练Grade; 02-学员DOE ABC _1; 02.1-团队数字_1; 03-录音【copy】; ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-WHOLE-MASTERLIST【基础-高四】1; ✅✅135-WHOLE-MASTERLIST【基础-高四】; 团队进阶高阶二守则后; 数据表 2,
CP137-DOE 【学员&教练】,CP137-DOE 【学员&教练】,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/AlKxbd35laCJlQsAZF2lUvp3gvg,AlKxbd35laCJlQsAZF2lUvp3gvg,readable,34,2026-05-28T20:49:29+08:00,2026-05-18T07:59:31+08:00,1970-01-01T07:30:00+07:30,keyword_DOE,事业挑战; 137蓝图; Dcode资料库+137蓝图; 【137高阶二DOE宣告】_ 137; ✅137-高二工作坊DOE宣告（开班前）; ✅B5.2-【周计划表】; ✅C1---教练-SUMMARY DOE; ✅C2-教练- SUMMARY DOE Form; 学员名单表; ✅A0-高一-10天宣告; ✅A1-高一学员DOE挑战宣告; ✅A2-高一学员DOE结果; 135【分数机制】; 135_Summary 分数机制; 135.3-分数计算【Buddy+战队】; 135.2-分数计算【个人】; 感召Form; 感召（个人）; ✅B1.1_【DOE数据】; ✅B2.2_【DOE填or修改数据】; ✅B3.1-【基础海星名单or位置】; ✅B4.1_【每日宣告 or 每日总结】; ✅B5.1-【周计划表】; 🔅【事业_1】个人每周事业数据 (NEW); 分数标准; ✅教练名单（中心）; 01-ABC教练Grade; 02-学员DOE ABC; 02.1-团队; 03-录音【copy】; ✅✅137-WHOLE-MASTERLIST【基础-高四】; 团队进阶高阶二守则后; ✅A0-高一-10天宣告1; 数据表,
客服 Backlog,客服 Backlog,owned by AGA Tech Support,AGA TECH SUPPORT,base,https://zsggz2p1btda.sg.larksuite.com/base/V6SSbZXH2alyQhs5Rv4lD006gKf,V6SSbZXH2alyQhs5Rv4lD006gKf,readable,5,2026-05-28T18:38:36+08:00,2026-03-23T23:55:13+08:00,2026-05-26T15:44:57+08:00,"keyword_Backlog, owned_by_me",KLCP136 客服Summary - 136 Bible; KLCP137 客服Summary - 136 Bible; ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136学员-NEWBIBLE_（Dcode); ✅.Dcode海星_基础Whole Bible,
D.136 Class Bible. (admin dcode),D.136 Class Bible. (admin dcode)    ,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/GGPiba6WEaG1hCsrpJIlJO3bgDb,GGPiba6WEaG1hCsrpJIlJO3bgDb,readable,26,2026-05-28T17:44:34+08:00,2026-03-22T22:30:45+08:00,2026-05-26T15:44:53+08:00,"keyword_Class_Bible, keyword_Dcode",✅✅136学员-NEWBIBLE_（Dcode); 总结合; Grade ABC【EMO】; Grade ABC【教练填】; ✅教练名单（中心）; ✅✅136教练-NEWBIBLE_（Dcode); ✅课程报名; ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; ✅A0-136_高一-10天宣告; ✅A0-136高一-10天宣告; 高阶二2Call; 【高二】事业成就表; ✅高二工作坊DOE宣告（开班前）; ✅135-高二工作坊DOE宣告（开班前）; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible; 🔥-学员海星个人结果,
D.137 Class Bible. (admin dcode),D.137 Class Bible. (admin dcode) ,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/EuSDbyrP9aI05asV0gPlwYOHgpf,EuSDbyrP9aI05asV0gPlwYOHgpf,readable,28,2026-05-28T16:02:09+08:00,2026-05-02T16:44:48+08:00,1970-01-01T07:30:00+07:30,"keyword_Class_Bible, keyword_Dcode",✅✅137学员-NEWBIBLE_（Dcode); 总结合; Grade ABC【EMO】; Grade ABC【教练填】; ✅教练名单（中心）; ✅✅137教练-NEWBIBLE_（Dcode); ✅课程报名; ✅✅137-WHOLE-MASTERLIST【基础-高四】; 高阶二报到; ✅✅137-旧Backlog【基础-高四】; ✅✅137-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅137-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️137-基础FINAL MASTERLIST; 🖊️🖊️137-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️137-【基础Backlog】FINAL MASTERLIST.; 🖊️137-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️137-高阶一-FINAL MASTERLIST; 🖊️137-高阶一-【守则后离开】Final Masterlist.; ✅A0-高一-10天宣告; 🖊️-137-高阶二-【高阶二Backlog】Bible; 【高二】事业成就表; 【高二】事业成就表 137; ✅高二工作坊DOE宣告（开班前）; 【137高阶二DOE宣告】_ 137; ✅135-高二工作坊DOE宣告（开班前）; 🔥-学员海星个人结果; 🖊️-135-高阶二-Final Masterlist.; 数据表,
135 Class Bible. (admin dcode),135 Class Bible. (admin dcode)   ,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/Zd8abS0C3agSNnsNHpKlNoXOg7d,Zd8abS0C3agSNnsNHpKlNoXOg7d,readable,33,2026-05-28T12:53:02+08:00,2026-01-28T16:24:37+08:00,2026-05-26T15:45:22+08:00,"keyword_Class_Bible, keyword_Dcode",✅✅135学员-NEWBIBLE_（Dcode); 总结合; Grade ABC【EMO】; Grade ABC【教练填】; ✅教练名单（中心）; ✅✅135教练-NEWBIBLE_（Dcode); ✅课程报名; ✅✅135-WHOLE-MASTERLIST【基础-高四】; 数据表; ✅✅135-【神奇宝宝】-WHOLE-MASTERLIST【基础-高四】; 💰💰💰135-Acc-WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST【Backlog进现行，一，二】高阶一bible; 🖊️🖊️135-基础FINAL MASTERLIST; 🖊️🖊️135-【基础守则离开】FINAL MASTERLIST; 🖊️🖊️135-【基础Backlog】FINAL MASTERLIST; 🖊️-135-高阶一-【高阶一Backlog】Final Masterlist; 🖊️-135-高阶一-FINAL MASTERLIST ; 🖊️-135-高阶一-【守则后离开】Final Masterlist; ✅A0-135高一-10天宣告; 📞海星名单-学员 (KLCP128); 📞海星名单-教练 (KLCP128)1; 💲海星名单-教练 (KLCP128); 💲海星名单-学员 (KLCP128); ✅基础BackLog; ✅高阶下车; ✅高阶Backlog; 高阶二2Call; 【高二】事业成就表; ✅135-高二工作坊DOE宣告（开班前）; 🖊️-135-高阶二-Final Masterlist; 🖊️-135-高阶二-【高阶二Backlog】Bible; 🔥-学员海星个人结果; ✅A0-135高一-10天宣告1,
旧的版本CP137-DOE （学员&教练）,旧的版本CP137-DOE （学员&教练）   ,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/NZ83bt1qma8tLLsdUPhlVtcSg3b,NZ83bt1qma8tLLsdUPhlVtcSg3b,readable,21,2026-05-28T12:17:08+08:00,2025-12-16T15:03:02+08:00,2026-05-26T15:49:23+08:00,keyword_DOE,✅137-高二工作坊DOE宣告（开班前）; 🔥137-事业挑战; 137蓝图; ✅C1-137-教练-SUMMARY DOE; ✅C2-137-教练- SUMMARY DOE Form; ✅A0-137高一-10天宣告; ✅A1-137高一学员DOE挑战宣告; ✅A2-137高一学员DOE挑战宣告 Form; 🔅137_【事业】每周检测; ✅B1.1_137个人Summary DOE数据表（中心）; ✅B2.0_137每日DOE_事业&家庭&社服Form（修改数据）; ✅B3.1(中）海星报读名单-学员 (132 bible)——; ✅B3.1(后）海星进课室（132Bible); ✅B4.1.2_每日宣告（早上）; 🔅137个人每周家庭数据 (NEW); ✅教练名单（中心）; 🔥137_教练DOE（遴选宣告）; 🔥137_1教练 Result Summary Table; ✔137_2-教练每日结果 - 汇报FORM; ⭐137_4_1教练书面总结&宣告 - FORM; 🔅137_【事业】教练遴选_每周检测,
CP133-DOE （学员&教练）,CP133-DOE （学员&教练） ,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/RZ1tbEuUIaEffPsTx9plXZerg3g,RZ1tbEuUIaEffPsTx9plXZerg3g,readable,24,2026-05-25T12:10:03+08:00,2025-12-16T14:50:29+08:00,2026-04-27T20:25:05+08:00,keyword_DOE,🔥133-事业挑战; Dcode资料库; 133个人资料; ✅C1-133--教练-SUMMARY DOE; ✅C2-133-教练- SUMMARY DOE Form; ✅133-高二工作坊DOE宣告（开班前）; B006.0_129每周计划 （每周）; ✅A0-133高一-10天宣告; ✅A1-133高一学员DOE挑战宣告; ✅A1-133高一学员DOE挑战宣告 副本; ✅A2-133高一学员DOE挑战宣告 Form; 感召金Form; 感召金（个人）; ✅B1.1_133个人Summary DOE数据表（中心）; ✅B2.2_133每日DOE_事业&家庭&社服Form（修改数据）; ✅✅B4.2_每日宣告&总结（早上晚上）; ✅B3.1(中）海星报读名单-学员 (133 bible)——; 🔅133个人每周事业数据 (NEW); 🔅133个人每周家庭数据 (NEW); 133周计划; ✅B4.1_每日宣告&总结（早上晚上）; 学员Grade ABC; 团队; 团队进阶高阶二守则后,
131-DOE （学员）,131-DOE （学员） ,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/MnxpbEYoeaR6SwswtDflTptSgTg,MnxpbEYoeaR6SwswtDflTptSgTg,readable,17,2026-05-18T20:21:06+08:00,2025-10-11T07:31:06+08:00,2025-12-08T14:04:58+08:00,keyword_DOE,感召金_; 个人每日宣告总结Summary (NEW); ✅B4.0_每日宣告（早上）; ✅B5.0_每日总结（晚上）; 131资料库; ✅B1.1_131个人Summary DOE数据表（中心）; 欣赏131特质; ✅B2.0_131每日DOE_事业&家庭&社服Form（修改数据）; ✅B3.1(中）海星报读名单-学员 (131 bible); ✅B3.1(后）海星进课室（131Bible); ✅131高二工作坊DOE宣告（开班前）; 131学员的个人资料; 131个人每周事业数据 (NEW); 131个人每周家庭数据 (NEW); 131感召金个人; B006.0_129每周计划 （每周）; MYCP5 MASTERLIST,
