source_role,category,table_name,table_id,field_count,view_count,form_count,sample_fields,views,forms
source table,DOE / declaration,事业挑战,tblydM7eVuFkDUPH,15,8,0,最新数据2; 名字; 华语名字; 最新%数据2; 事业宣告目标/定义2; 最新数据1; 最新%数据1; 事业1-八仙率占比; 事业2-八仙率占比; 高阶四总宣告1; 行动; 教练; 最新数据%; 高阶四总宣告2; 事业宣告目标/定义1,事业挑战; 事业挑战KEY; 表格 2(dashboard_view); A-Z; vewRu0HjLv; vewbblOtHP; vew42Ni2QD; vewvJ93c0t,
working table,Other,137蓝图,tblGUef5BgaE8SNy,5,2,0,KLCP137; 项目; 图; Desciption; Description,表格; 137 蓝图,
source table,Profile / roster,Dcode资料库+137蓝图,tblFXjM9pO0Uyydo,4,2,0,Dcode户口; 单选; 文本; 图片,Dcode资料库; vewEuBBg3s,
working table,DOE / declaration,【137高阶二DOE宣告】_ 137,tblOTZKTUxoRDt44,26,3,0,6周要赢100%的9宫格曼陀罗方案和障碍。; 【事业1】百分比; 家庭新反应对象3（弹性对象）; 家庭新反应对象2 Family Member（名字/关系 Name and Relationship）; 家庭愿景 Family Vision; 团长小组; 事业过往同期/同月/每年的结果证明; 赢的时间 赢的时间，12周200%以上; 华语名字; 教练小组; 事业愿景 Career Vision （焦点在外，创造价值的）; 职位 Position; 【事业2】百分比 副本; 【事业2】-宣告目标  Career Target（可计算检测的 Able to Calculate）; 提早赢的每周监测点 Win Early Weekly Check Point; 家庭新反应对象1 Family Member1（名字/关系 Name and Relationship）; 家庭对你来说重要的是什么？多说一说，说到有体验。; 事业性质（行业）Career Type; 事业1-宣告目标  Career Target（可计算检测的 Able to Calculate）; 【事业2】赢的标准---Unit 业绩 副本,137宣告; 教练小组; CP137 三大支柱宣告- 学员DOE Declaration,
working table,DOE / declaration,✅137-高二工作坊DOE宣告（开班前）,tbl2F9VBTrXGBJ8o,31,10,0,【15】事业过往同期/同月/每年的结果证明; 【A3】家庭3 Family Member （关系/ 华语名字     Relationship And Name  ）举例：妈妈/林美铃 副本; 【11】事业2 - 宣告目标 （数字）; 事业3-宣告目标; 电子邮件 Email Address; 【5】职位Position; 华语名字; 【8】事业1 - 宣告目标  （数字）; 教练; 【13】赢的时间 Winning Time（提早赢 Win-early）; 教练核实; 【A4】现在当下家庭关系从0-10分_; 【2】年资历 (年) Work experience (Years); 【A1】家庭对你来说重要的是什么？多说一说，聊到有体验。; 【6】事业1 - 愿景 Career Vision(承诺创造什么价值对于事业，为什么重要？）; 【12】事业2 百分比; 【A2】家庭愿景 Family Vision; 【4】事业性质（行业）Career Type; 事业3-宣告; 【9】事业1 百分比,KLCP137三大支柱宣告- 学员 DOE; DOE宣告; 修改; 新家庭对象2-3; 事业宣告; 家庭宣告; vewnoWj0qx; vewIrvtjT0; vewkyWUmsS; vewfbD5Ddl,
working table,Working / data entry,✅B5.2-【周计划表】,tbl6MrbMc5VtbQZn,61,12,0,B.2.0【家庭】对象2; 【事】3.干扰出现--（怎么如何排除） 【Career】 1. Interference occurs - (How to eliminate it); 【海1】星期几约他+时间+地址; 星期二 Tuesday; 星期三 Wednesday; A5-【事】过去的选择 //现在的选择; 【事】方案1//行动1 【Career】 Plan 1 // Action 1; 【家2】3.干扰出现-（怎么如何排除）【Family2】 3. Interference occurs - (How to eliminate it); 星期六 Saturday; 【事】方案2//行动2 【Career】 Plan 1 // Action 1; 第几周; A2.事业检测点; 【家1】方案3//行动3 【Family1】 Plan 3 // Action 3; 【事】2.干扰出现--（怎么如何排除）【Career】 1. Interference occurs - (How to eliminate it); 【家2】方案5//行动5 【Family2】 Plan 5 // Action 5; 教练; B2-对象2家庭检测点（每一天的预计铺排） 副本; A1.事业结果(这一周结果多少目标）; 【事】1.干扰出现-（怎么如何排除）【Career】 1. Interference occurs - (How to eliminate it); 【家1】3.干扰出现-（怎么如何排除）【Family1】 3. Interference occurs - (How to eliminate it),KLCP DOE Weekly Plan; 周计划表; 事业_周计划; 家庭_周计划; 海星_周计划; 周计划表Grid; 日历; vew1pPphOk; vewJS2TFDV; vewCyrr1J3,
derived/reporting table,DOE / declaration,✅C1---教练-SUMMARY DOE,tblIsqnieuXuyuQf,30,3,0,家庭1总完成; 事业2 完成%; 事业2% 百分比; 海星总宣告; 家庭反应总宣告_2; 事业1-定义; 事业2-定义; 事业总完成%; 129基础已进课室; 家庭1（数据）; 海星130高阶已进课室; 行业性质; 家庭2（数据）; 家庭反应总宣告_1.1; 海星当班+待确认TOTAL; 事业2总宣告; 事业2（数字）; 事业1 完成%; 事业1总宣告; 事业1 % 百分比,表格; 教练现行_宣告; vewaGoDBk0,
working table,DOE / declaration,✅C2-教练- SUMMARY DOE Form,tbl23y1vCtMnMZoI,13,3,0,教练名字; 事业; 家庭对象1书面总结_; 家庭对象2书面总结; 家庭 对象2_; 家庭 对象1_; 日期; 新反应收/不收; 社服; 事业 2; 社服书面总结; 事业1; 收的原因/谁收了,135-教练DOE; 135教练Form; vewnizEKD3,
working table,Profile / roster,学员名单表,tblUTNEVZqRu6p9y,3,2,0,学员名字; 文本 2; 查找引用 副本,表格; vewWKTUHn5,
working table,DOE / declaration,✅A0-高一-10天宣告,tbl1zcvEnvll417g,14,3,0,家庭对象1：; 教练; 什么原因是这个对象？：; 事业性质; 事业给予什么价值：; 什么原因是小目标？：; 华语名字; 事业定义（赢的标准）; 总教验收; 中心Call时间 （星期几 + 几点am/pm); 事业总宣告; 指引负责人_; 学员名字（还没有链接）; 总教备注,133高阶一宣告; 137-高阶一小目标宣告; vewjdGhJfe,
