source_role,category,table_name,table_id,field_count,view_count,form_count,sample_fields,views,forms
working table,DOE / declaration,✅137-高二工作坊DOE宣告（开班前）,tblSg816PllHmZxX,24,2,0,事业1 - 愿景 Career Vision(承诺创造什么价值对于事业，为什么重要？）; 事业2-宣告定义(赢得标准）; 事业1 - 宣告目标  （数字）; 事业1-宣告定义(赢得标准）; 赢的时间 Winning Time（129提早赢 Win-early）; 什么原因想在的关系是这个分数; 什么原因现在的关系是这个分数，在这段CP旅程我对于我人际的愿景是什么？; 事业1 百分比; 年资历 (年) Work experience (Years); 家庭关系从0-10分_; 教练小组 Coach Team; 人际宣告(有多少个身边重要的人因为你，他有机会来到CP); 事业2 百分比; 收入 Income; 事业性质（行业）Career Type; 日期; 家庭新反应对象1 Family Member （关系/ 华语名字     Relationship And Name  ）举例：妈妈/林美铃; 家庭愿景 Family Vision; 公司名字 Company name; 每周监测点 Weekly Check Point,现行宣告; 看板(dashboard_view),
source table,DOE / declaration,🔥137-事业挑战,tblqY39lisKeeSv0,15,2,0,最新数据1; 最新%数据2; 高阶四总宣告1; 高阶四总宣告2; 学员华语全名 Chinese Name; 事业2-八仙率占比; 战队; 最新数据2; 事业1-八仙率占比; 教练小组 Coach Team; 事业宣告目标/定义2; 最新数据%; 名字; 事业宣告目标/定义1; 最新%数据1,事业挑战; 表格 2(dashboard_view),
working table,Other,137蓝图,tblXwfO51KaCt7tI,5,2,0,KLCP137; 项目; 图; Desciption; Description,137 蓝图; 表格,
derived/reporting table,DOE / declaration,✅C1-137-教练-SUMMARY DOE,tbl3O58DnMsXwS9P,22,1,0,133基础已进课室; 事业1（数字）; 教练华语全名 Chinese Name; 事业1总宣告; 海星130高阶已进课室; 家庭反应总宣告_1.1; Parent items; 事业总完成%; 行业性质; 海星总宣告; 海星129高阶已进课室; 事业1-定义; 事业1 完成%; 家庭反应总宣告; 家庭1（数据）; 海星当班+待确认TOTAL; 129基础已进课室; 家庭2（数据）; 海星128高阶已进课室; 教练名字.,表格,
working table,DOE / declaration,✅C2-137-教练- SUMMARY DOE Form,tblGPVWyGn9FK73J,13,1,0,日期; 事业1; 社服; 家庭 对象1_; 家庭对象2书面总结; 事业 2; 新反应收/不收; 家庭对象1书面总结_; 教练名字; 事业; 家庭 对象2_; 收的原因/谁收了; 社服书面总结,132教练Form,
working table,DOE / declaration,✅A0-137高一-10天宣告,tbl6BzNc1SMgjLzo,12,2,0,什么原因是小目标？：; 事业定义（赢的标准）; 学员; 学员名字（还没有链接）; 什么原因是这个对象？：; 事业给与什么价值：; 指引负责人_; 家庭对象1：; 教练; 事业总宣告; 中心Call时间 （星期几 + 几点am/pm); 事业性质,135高阶一宣告; 135-高阶一10天宣告,
working table,DOE / declaration,✅A1-137高一学员DOE挑战宣告,tblsyNhIshRJ7TiO,19,1,0,修改人; 事业性质; 指引负责人_; 事业定义; 家庭（数字）; 家庭总%; 学员15人际名单; 学员名字（还没有链接）; 家庭对象; 最后更新时间; 教练; 高阶一收获分享; 学员; 家庭总宣告; 事业总完成%; 事业1（数字）; Parent items; 事业总宣告; 15人际完成,135高阶一DOE,
working table,DOE / declaration,✅A2-137高一学员DOE挑战宣告 Form,tbl328KS0eYpOhRk,8,2,0,学员名字; 家庭反应收的原因是什么?; 【1】家庭收; 事业【结果】; 事业数据; 家庭 1数据; 报告标题; 教练名字,Grid; 135高阶一学员DOE挑战,
working table,DOE / declaration,🔅137_【事业】每周检测,tbluZ63nAtN3xlhB,70,1,0,事业2 - 第11周 完成%; 事业2 - 第4周（数据）; 第9周进展%; 事业2 - 第12周 完成%; 事业2 - 第10周 完成%; 事业1 - 第1周 完成%; 事业1 - 第9周（数据）; 第6周进展%; 事业1 - 第7周（数据）; 事业1 - 第1周（数据）; 事业2 - 第10周（数据）; 第13周进展%; 事业1 - 第5周（数据）; 事业1 - 第5周 完成%; 事业2 - 第6周（数据）; 教练; 事业2 - 第13周 完成%; 事业1 - 第7周 完成%; 第3周进展%; 事业1 - 第11周 完成%,表格,
derived/reporting table,DOE / declaration,✅B1.1_137个人Summary DOE数据表（中心）,tblDObxw2R4DhZr4,62,11,0,【家】第2周; 事业3八仙率占比; 学员; 【家】第3周; 指引负责人; 【家】第13周; Buddy; 【家】第7周; MYCP【进课室】; 教练; 【家】第9周; 海星当班+待确认TOTAL; 136基础.; 事业1（数据）; 事业1 完成%; 133基础已进课室; 家庭对象2; 事业2 完成%; 家庭反应总宣告; MYCP【确认当班】,数据库; 事业部门_; 家庭部门; 海星部门; 社服部门; 指引负责人; 个人; 表格 9(dashboard_view); 表格 11(dashboard_view); HAPPY小组,
working table,DOE / declaration,✅B2.0_137每日DOE_事业&家庭&社服Form（修改数据）,tblvXGiaKxHSuAqA,40,10,0,事业2总宣告; 非CP【结果】（不可修改）; 事业-3 结果; 战队_; 【2】家庭反应目前结果 副本; 社会服务; 家庭1 反应 （照片）; 学员; 当天日期; 教练; 创造人; 家庭2验收（教练）; 事业2-结果; 社服书面总结; 社服【结果】（不可修改）; 家庭1:反应书面总结分享; 社服验收的原因/收了什么（教练）; 非CP; 事业-当天总完成%; 社服验收（教练）,.DOE【结果】; F.DOE挑战; 教练验收（家&社）; 教练验收; 教练小组; 今日数据; 事业部门Sheet; 家庭部门Sheet; 社服部门Sheet; B2.0_132每日DOE报告,
working table,Class Bible / people source,✅B3.1(中）海星报读名单-学员 (132 bible)——,tbl0nW7a5KL6PP6c,25,3,0,结果期别; 基础报读日期; 付费方式 (1); SO/Transfer No.; EMO期别; 8%SST; 余款; 酒店费用; 付费方式; 华语名字; 学号; 补款; 英文名字; 全报; EMO 华语名字; EMO 英文名字; 序号; 基础确认期别; SourceID; 总费用,Bible(不能删）; 133确认当班; 135确认当班,
working table,Class Bible / people source,✅B3.1(后）海星进课室（132Bible),tblp0aeysUDvscL1,10,1,0,基础已进课室（KLCP); 华语名字; EMO 英文名字; 基础离开; 学号; EMO期别; SourceID; 结果期别; EMO 华语名字; 序号,🔥【133-136】基础已进课室,
working table,DOE / declaration,✅B4.1.2_每日宣告（早上）,tbl1xOyJYBfK17Jt,30,11,0,7.基于我的理想和目标，我的心态是什么？我的行为是什么？; 2.【我焦点在内的时候，做了什么行不通的选择】; 3.家庭宣告; 8.焦点内在外在干扰：3个以上的干扰>降低; 2.事业宣告; 6.【24小时要发生的结果 Have】; 修改人; 创造人; 5.社服宣告; 教练; 战队; 10.【宣告】附件字面书面upload; 9.今天要运用在4+5+6; 5.【我新的决定 Be 4+5+6】; 1.要修正的【结果】; 4.海星宣告/人际结果; 3.【基于这个结果我真正的企图心/目的】; 8.Buddy 宣告; 6.支柱队长宣告; 9【过去行不通的选择和新的选择】,【🔅每日宣告】; 【🌙每日总结】; 135每日宣告/总结📅日期：Form; 【🔅每日宣告_Sheet】; 今天【🔅每日宣告_Sheet】; 【🌙每日总结_Sheet】; 当天-🌙每日总结_Sheet】 副本; 总书面宣告_Sheet; Calendar; Gallery,
working table,Other,🔅137个人每周家庭数据 (NEW),tblUWDwGpmwf5Gxx,22,14,0,家庭1 - 第9周（数据）; 学员名字.; 战队; 事业1总宣告; 事业1-八仙占比; 家庭1 - 第12周（数据）; 家庭1 - 第11周（数据）; 家庭1 - 第3周（数据）; 家庭1- 第1周（数据）; 家庭1 - 第6周（数据）; 总完成%; 家庭1 - 第2周（数据）; 家庭1 - 第4周（数据）; 家庭1 - 第7周（数据）; 家庭1 - 第8周（数据）; 事业2 八仙率占比; 事业2总宣告; 家庭1 - 第5周（数据）; 学员; 教练,131事业数据库; 第2周 - 少个12%; 第3周 - 少个12%; 第4周 - 少个12%; 第4周 - 总完成少个56%; 第5周 - 少个12%; 第6周 - 少个12%; 第7周 - 少个12%; 第8周 - 少个12%; 第9周 - 少个12%,
working table,Profile / roster,✅教练名单（中心）,tbld0jhhVhJQ3TX5,29,1,0,职位; 当教练的目的，多说一说; 承诺于KLCP教练付出之路，并服从以下教练行为守则。; 本人签名; 部门; 婚姻状况(已婚/单身); 教练List; 公司地址; 我要创造的价值是什么？我承诺予团队的是什么？多说一说; 对事业的愿景; 我承诺于KLCP教练付出之路，并服从以下教练行为守则。; 身份证号码/护照号码; 英文名字 (as per IC); 工作年资; 对家庭的愿景; 年收入水平; 公司名称; 这段教练之路，可能会出现什么障碍/干扰/挑战？如果以上发生，你有什么新的可能性？; 誓约（期别，名字，誓约）; 中文姓名,教练团资料,
working table,DOE / declaration,🔥137_教练DOE（遴选宣告）,tbl9fTtSkYOz6wvy,20,2,0,事业性质（行业）Career Type; 已经整理好4周如何赢的9宫曼陀罗格？（计划，障碍，解决方案）; 家庭新反应对象2，对他来说重要的是什么？多说一说，聊到有体验。; 提早赢的每周监测点 Win Early Weekly Check Point; 日期; 家庭愿景 Family Vision; 事业宣告目标  Career Target（可计算检测的 Able to Calculate）; 职位 Position; 事业当下重要的是什么; 家庭新反应对象1 Family Member1（名字/关系 Name and Relationship）; 家庭对你来说重要的是什么？多说一说，说到有体验。; 赢的时间 （8周的宣告4周赢）200%; 家庭新反应对象2 Family Member（名字/关系 Name and Relationship）; 家庭新反应对象1，对他来说重要的是什么？多说一说，聊到有体验。; 姓名; 4周如何赢的9宫格; Seastar 海星宣告; 事业过往同期/同月/每年的结果证明; 家庭新反应对象3（弹性对象）; 事业愿景 Career Vision （焦点在外，创造价值的）,CP137 三大支柱宣告- 教练遴选 DOE Declaration; CP137 三大支柱宣告- 学员 DOE Declaration_Summary,
derived/reporting table,Reporting / result,🔥137_1教练 Result Summary Table,tbl5WDTqldmkGCYx,60,3,0,事业2（数字）; 第三周的书面反应; 第二周%【事】; 对象1; 第四周的书面反应; 第七周%【事】; 家庭1（数据）; 第一周%【事】; 第一周的书面反应; 第十二周的书面反应; Total 宣告; 【家庭1宣告周】; 第九周的书面反应; 第八周的书面反应; 占比率 2; 第九周%【事】; 占比率 1; 基础海星宣告; 高阶完成; 第十三周的书面反应,137 看3大支柱; 事业; 家庭,
working table,Reporting / result,✔137_2-教练每日结果 - 汇报FORM,tbl5RRPzMDBelkC0,29,3,0,5.家庭对象2{结果}  Family 2 Result; 时间; 7.家庭对象3{结果}  Family 3 Result Copy; 修改人; 家庭【3】验收结果; 家庭【2】目前结果; 家庭【3】目前结果; 家庭【1】验收结果; 教练名字; 家庭【1】目前结果; 2.事业结果证明; Date 5; 10.社服; 4.家庭对象1反应书面; 11.社服 非CP; 12.开启人际关系新的可能性 （姓名）; 汇报结果/宣告/总结; 6.家庭对象2反应书面; 家庭收的原因（总教/团长/教练）; 最后更新时间,KLCP137教练团 - 每日结果 - 汇报FORM; 表格; H,
